id,cluster,project,code,title,description,site,room,gallery,documents,diagram,table_data,created_at,location
1,Trinity,Sabinas Project,MDF-0101,MDF-0101,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Admin Building,,,,,,
2,Trinity,Sabinas Project,IDF-Fiber Hut,IDF-Fiber Hut,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fiber Hut,,,,,,
3,Trinity,Sabinas Project,IDF-0301,IDF-0301,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,La Hacienda,,,,,,
4,Trinity,Sabinas Project,IDF-0401,IDF-0401,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Main Guard Shack,,,,,,
5,Trinity,Sabinas Project,IDF-0601,IDF-0601,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Engineering,,,,,,
6,Trinity,Sabinas Project,IDF-0903,IDF-0903,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
7,Trinity,Sabinas Project,IDF-0502,IDF-0502,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Shipping Warehouse,,,,,,
8,Trinity,Sabinas Project,IDF-0902,IDF-0902,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
9,Trinity,Sabinas Project,IDF-0906,IDF-0906,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 1,,,,,,
10,Trinity,Sabinas Project,IDF-2201,IDF-2201,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
11,Trinity,Sabinas Project,IDF-2202,IDF-2202,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
12,Trinity,Sabinas Project,IDF-2203,IDF-2203,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
13,Trinity,Sabinas Project,IDF-2204,IDF-2204,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 1,,,,,,
14,Trinity,Sabinas Project,IDF-1001,IDF-1001,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Paint Shop 2,,,,,,
15,Trinity,Sabinas Project,IDF-0801,IDF-0801,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,La Palapa,,,,,,
16,Trinity,Sabinas Project,IDF-2401,IDF-2401,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
17,Trinity,Sabinas Project,IDF-2402,IDF-2402,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
18,Trinity,Sabinas Project,IDF-2403,IDF-2403,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
19,Trinity,Sabinas Project,IDF-2404,IDF-2404,Primary IDF supporting the administrative office areas for the Trinity – Sabinas project.,Sabinas,Fabrication Bay 4,,,,,,
